"Susceptible","Infected"
95.0,5.0
93.0,7.0
87.0,13.0
82.0,18.0
80.0,20.0
77.0,23.0
73.0,27.0
71.0,29.0
67.0,33.0
65.0,35.0
61.0,39.0
58.0,42.0
54.0,46.0
51.0,49.0
47.0,53.0
46.0,54.0
45.0,55.0
43.0,57.0
43.0,57.0
40.0,60.0
37.0,63.0
37.0,63.0
36.0,64.0
35.0,65.0
35.0,65.0
35.0,65.0
35.0,65.0
35.0,65.0
34.0,66.0
32.0,68.0
32.0,68.0
32.0,68.0
32.0,68.0
32.0,68.0
32.0,68.0
32.0,68.0
31.0,69.0
31.0,69.0
31.0,69.0
31.0,69.0
31.0,69.0
31.0,69.0
31.0,69.0
31.0,69.0
28.0,72.0
26.0,74.0
26.0,74.0
26.0,74.0
26.0,74.0
26.0,74.0
25.0,75.0
25.0,75.0
24.0,76.0
24.0,76.0
24.0,76.0
24.0,76.0
23.0,77.0
23.0,77.0
23.0,77.0
23.0,77.0
23.0,77.0
22.0,78.0
21.0,79.0
20.0,80.0
20.0,80.0
20.0,80.0
20.0,80.0
20.0,80.0
20.0,80.0
20.0,80.0
19.0,81.0
19.0,81.0
18.0,82.0
17.0,83.0
17.0,83.0
17.0,83.0
17.0,83.0
16.0,84.0
16.0,84.0
15.0,85.0
15.0,85.0
15.0,85.0
15.0,85.0
15.0,85.0
15.0,85.0
15.0,85.0
13.0,87.0
12.0,88.0
12.0,88.0
12.0,88.0
12.0,88.0
12.0,88.0
12.0,88.0
12.0,88.0
12.0,88.0
12.0,88.0
12.0,88.0
12.0,88.0
12.0,88.0
12.0,88.0
12.0,88.0
12.0,88.0
12.0,88.0
11.0,89.0
11.0,89.0
11.0,89.0
11.0,89.0
11.0,89.0
11.0,89.0
11.0,89.0
11.0,89.0
10.0,90.0
8.0,92.0
8.0,92.0
8.0,92.0
8.0,92.0
8.0,92.0
8.0,92.0
8.0,92.0
7.0,93.0
6.0,94.0
6.0,94.0
6.0,94.0
6.0,94.0
6.0,94.0
6.0,94.0
6.0,94.0
6.0,94.0
6.0,94.0
6.0,94.0
6.0,94.0
6.0,94.0
