"Susceptible","Infected"
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
99.0,1.0
