"Susceptible","Infected"
95.0,5.0
92.0,8.0
89.0,11.0
81.0,19.0
69.0,31.0
55.0,45.0
50.0,50.0
40.0,60.0
37.0,63.0
29.0,71.0
20.0,80.0
12.0,88.0
6.0,94.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
