"Susceptible","Infected"
20.0,0.0
20.0,0.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
12.0,8.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
