"Susceptible","Infected"
999.0,1.0
999.0,1.0
999.0,1.0
999.0,1.0
999.0,1.0
999.0,1.0
999.0,1.0
999.0,1.0
999.0,1.0
999.0,1.0
999.0,1.0
999.0,1.0
999.0,1.0
999.0,1.0
999.0,1.0
999.0,1.0
999.0,1.0
999.0,1.0
999.0,1.0
999.0,1.0
999.0,1.0
999.0,1.0
999.0,1.0
999.0,1.0
999.0,1.0
999.0,1.0
999.0,1.0
999.0,1.0
999.0,1.0
999.0,1.0
999.0,1.0
999.0,1.0
999.0,1.0
999.0,1.0
999.0,1.0
999.0,1.0
999.0,1.0
999.0,1.0
999.0,1.0
999.0,1.0
999.0,1.0
999.0,1.0
999.0,1.0
999.0,1.0
999.0,1.0
999.0,1.0
999.0,1.0
999.0,1.0
999.0,1.0
999.0,1.0
999.0,1.0
999.0,1.0
999.0,1.0
999.0,1.0
999.0,1.0
999.0,1.0
999.0,1.0
999.0,1.0
999.0,1.0
999.0,1.0
999.0,1.0
999.0,1.0
999.0,1.0
999.0,1.0
999.0,1.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
993.0,7.0
991.0,9.0
987.0,13.0
987.0,13.0
987.0,13.0
987.0,13.0
987.0,13.0
987.0,13.0
987.0,13.0
987.0,13.0
987.0,13.0
987.0,13.0
987.0,13.0
987.0,13.0
987.0,13.0
987.0,13.0
987.0,13.0
987.0,13.0
987.0,13.0
987.0,13.0
987.0,13.0
987.0,13.0
987.0,13.0
987.0,13.0
987.0,13.0
987.0,13.0
987.0,13.0
987.0,13.0
987.0,13.0
987.0,13.0
987.0,13.0
987.0,13.0
987.0,13.0
987.0,13.0
987.0,13.0
987.0,13.0
987.0,13.0
987.0,13.0
987.0,13.0
987.0,13.0
987.0,13.0
987.0,13.0
987.0,13.0
987.0,13.0
987.0,13.0
987.0,13.0
987.0,13.0
987.0,13.0
987.0,13.0
987.0,13.0
987.0,13.0
987.0,13.0
987.0,13.0
987.0,13.0
987.0,13.0
987.0,13.0
987.0,13.0
987.0,13.0
987.0,13.0
987.0,13.0
987.0,13.0
987.0,13.0
