"Susceptible","Infected"
1000.0,0.0
995.0,5.0
995.0,5.0
995.0,5.0
995.0,5.0
995.0,5.0
995.0,5.0
995.0,5.0
995.0,5.0
995.0,5.0
995.0,5.0
995.0,5.0
995.0,5.0
993.0,7.0
992.0,8.0
991.0,9.0
987.0,13.0
987.0,13.0
984.0,16.0
982.0,18.0
978.0,22.0
974.0,26.0
971.0,29.0
964.0,36.0
954.0,46.0
948.0,52.0
940.0,60.0
934.0,66.0
929.0,71.0
924.0,76.0
922.0,78.0
918.0,82.0
917.0,83.0
913.0,87.0
911.0,89.0
909.0,91.0
905.0,95.0
905.0,95.0
904.0,96.0
901.0,99.0
900.0,100.0
899.0,101.0
899.0,101.0
898.0,102.0
898.0,102.0
896.0,104.0
896.0,104.0
894.0,106.0
894.0,106.0
894.0,106.0
894.0,106.0
894.0,106.0
894.0,106.0
894.0,106.0
894.0,106.0
894.0,106.0
894.0,106.0
894.0,106.0
894.0,106.0
894.0,106.0
894.0,106.0
894.0,106.0
894.0,106.0
894.0,106.0
894.0,106.0
894.0,106.0
894.0,106.0
894.0,106.0
894.0,106.0
894.0,106.0
894.0,106.0
894.0,106.0
894.0,106.0
894.0,106.0
894.0,106.0
894.0,106.0
894.0,106.0
894.0,106.0
894.0,106.0
894.0,106.0
894.0,106.0
894.0,106.0
894.0,106.0
894.0,106.0
894.0,106.0
894.0,106.0
894.0,106.0
894.0,106.0
894.0,106.0
894.0,106.0
894.0,106.0
894.0,106.0
894.0,106.0
894.0,106.0
894.0,106.0
894.0,106.0
894.0,106.0
894.0,106.0
894.0,106.0
894.0,106.0
894.0,106.0
894.0,106.0
894.0,106.0
894.0,106.0
894.0,106.0
894.0,106.0
894.0,106.0
894.0,106.0
894.0,106.0
894.0,106.0
894.0,106.0
894.0,106.0
894.0,106.0
894.0,106.0
894.0,106.0
894.0,106.0
894.0,106.0
894.0,106.0
894.0,106.0
894.0,106.0
894.0,106.0
894.0,106.0
894.0,106.0
894.0,106.0
894.0,106.0
894.0,106.0
894.0,106.0
894.0,106.0
894.0,106.0
894.0,106.0
894.0,106.0
894.0,106.0
894.0,106.0
894.0,106.0
894.0,106.0
894.0,106.0
894.0,106.0
894.0,106.0
894.0,106.0
894.0,106.0
894.0,106.0
894.0,106.0
894.0,106.0
894.0,106.0
894.0,106.0
894.0,106.0
894.0,106.0
894.0,106.0
894.0,106.0
894.0,106.0
894.0,106.0
894.0,106.0
894.0,106.0
894.0,106.0
894.0,106.0
894.0,106.0
894.0,106.0
894.0,106.0
894.0,106.0
894.0,106.0
894.0,106.0
894.0,106.0
894.0,106.0
894.0,106.0
894.0,106.0
894.0,106.0
894.0,106.0
894.0,106.0
894.0,106.0
894.0,106.0
894.0,106.0
894.0,106.0
894.0,106.0
894.0,106.0
893.0,107.0
893.0,107.0
893.0,107.0
893.0,107.0
893.0,107.0
893.0,107.0
893.0,107.0
893.0,107.0
893.0,107.0
893.0,107.0
893.0,107.0
893.0,107.0
893.0,107.0
893.0,107.0
893.0,107.0
893.0,107.0
892.0,108.0
892.0,108.0
892.0,108.0
892.0,108.0
892.0,108.0
892.0,108.0
892.0,108.0
890.0,110.0
890.0,110.0
890.0,110.0
890.0,110.0
890.0,110.0
890.0,110.0
890.0,110.0
890.0,110.0
890.0,110.0
890.0,110.0
890.0,110.0
890.0,110.0
890.0,110.0
889.0,111.0
889.0,111.0
889.0,111.0
888.0,112.0
887.0,113.0
887.0,113.0
886.0,114.0
886.0,114.0
886.0,114.0
885.0,115.0
885.0,115.0
885.0,115.0
885.0,115.0
885.0,115.0
885.0,115.0
885.0,115.0
885.0,115.0
885.0,115.0
885.0,115.0
884.0,116.0
884.0,116.0
884.0,116.0
882.0,118.0
882.0,118.0
881.0,119.0
879.0,121.0
878.0,122.0
878.0,122.0
878.0,122.0
877.0,123.0
877.0,123.0
877.0,123.0
876.0,124.0
876.0,124.0
875.0,125.0
875.0,125.0
875.0,125.0
875.0,125.0
875.0,125.0
875.0,125.0
875.0,125.0
875.0,125.0
875.0,125.0
875.0,125.0
874.0,126.0
873.0,127.0
872.0,128.0
872.0,128.0
872.0,128.0
872.0,128.0
872.0,128.0
872.0,128.0
871.0,129.0
871.0,129.0
870.0,130.0
864.0,136.0
861.0,139.0
861.0,139.0
861.0,139.0
861.0,139.0
860.0,140.0
860.0,140.0
859.0,141.0
859.0,141.0
857.0,143.0
857.0,143.0
857.0,143.0
857.0,143.0
857.0,143.0
857.0,143.0
857.0,143.0
857.0,143.0
854.0,146.0
851.0,149.0
849.0,151.0
847.0,153.0
847.0,153.0
846.0,154.0
846.0,154.0
846.0,154.0
845.0,155.0
844.0,156.0
843.0,157.0
843.0,157.0
839.0,161.0
834.0,166.0
832.0,168.0
831.0,169.0
831.0,169.0
831.0,169.0
830.0,170.0
830.0,170.0
830.0,170.0
829.0,171.0
828.0,172.0
828.0,172.0
825.0,175.0
825.0,175.0
825.0,175.0
822.0,178.0
821.0,179.0
821.0,179.0
820.0,180.0
819.0,181.0
817.0,183.0
817.0,183.0
816.0,184.0
816.0,184.0
814.0,186.0
811.0,189.0
810.0,190.0
810.0,190.0
809.0,191.0
809.0,191.0
809.0,191.0
808.0,192.0
808.0,192.0
808.0,192.0
808.0,192.0
807.0,193.0
804.0,196.0
804.0,196.0
804.0,196.0
804.0,196.0
803.0,197.0
802.0,198.0
799.0,201.0
796.0,204.0
794.0,206.0
793.0,207.0
792.0,208.0
790.0,210.0
786.0,214.0
784.0,216.0
784.0,216.0
782.0,218.0
780.0,220.0
777.0,223.0
775.0,225.0
774.0,226.0
772.0,228.0
771.0,229.0
770.0,230.0
769.0,231.0
767.0,233.0
764.0,236.0
764.0,236.0
763.0,237.0
762.0,238.0
761.0,239.0
760.0,240.0
758.0,242.0
757.0,243.0
754.0,246.0
750.0,250.0
745.0,255.0
743.0,257.0
740.0,260.0
739.0,261.0
738.0,262.0
736.0,264.0
735.0,265.0
734.0,266.0
733.0,267.0
730.0,270.0
728.0,272.0
726.0,274.0
724.0,276.0
722.0,278.0
718.0,282.0
718.0,282.0
718.0,282.0
713.0,287.0
711.0,289.0
709.0,291.0
706.0,294.0
706.0,294.0
704.0,296.0
703.0,297.0
701.0,299.0
699.0,301.0
699.0,301.0
696.0,304.0
696.0,304.0
694.0,306.0
694.0,306.0
690.0,310.0
689.0,311.0
688.0,312.0
687.0,313.0
683.0,317.0
677.0,323.0
677.0,323.0
677.0,323.0
674.0,326.0
673.0,327.0
673.0,327.0
670.0,330.0
668.0,332.0
668.0,332.0
668.0,332.0
667.0,333.0
665.0,335.0
663.0,337.0
661.0,339.0
659.0,341.0
658.0,342.0
654.0,346.0
650.0,350.0
650.0,350.0
647.0,353.0
645.0,355.0
641.0,359.0
637.0,363.0
632.0,368.0
632.0,368.0
628.0,372.0
627.0,373.0
624.0,376.0
623.0,377.0
622.0,378.0
619.0,381.0
616.0,384.0
610.0,390.0
609.0,391.0
606.0,394.0
603.0,397.0
599.0,401.0
599.0,401.0
597.0,403.0
596.0,404.0
593.0,407.0
590.0,410.0
589.0,411.0
588.0,412.0
586.0,414.0
582.0,418.0
579.0,421.0
576.0,424.0
572.0,428.0
570.0,430.0
568.0,432.0
568.0,432.0
567.0,433.0
564.0,436.0
562.0,438.0
562.0,438.0
561.0,439.0
557.0,443.0
557.0,443.0
555.0,445.0
551.0,449.0
549.0,451.0
547.0,453.0
545.0,455.0
543.0,457.0
541.0,459.0
538.0,462.0
534.0,466.0
531.0,469.0
530.0,470.0
526.0,474.0
521.0,479.0
519.0,481.0
517.0,483.0
516.0,484.0
512.0,488.0
509.0,491.0
507.0,493.0
505.0,495.0
502.0,498.0
502.0,498.0
502.0,498.0
501.0,499.0
501.0,499.0
499.0,501.0
498.0,502.0
497.0,503.0
494.0,506.0
492.0,508.0
491.0,509.0
487.0,513.0
482.0,518.0
479.0,521.0
477.0,523.0
474.0,526.0
469.0,531.0
469.0,531.0
469.0,531.0
467.0,533.0
462.0,538.0
462.0,538.0
462.0,538.0
461.0,539.0
460.0,540.0
460.0,540.0
460.0,540.0
458.0,542.0
458.0,542.0
457.0,543.0
451.0,549.0
449.0,551.0
445.0,555.0
444.0,556.0
442.0,558.0
439.0,561.0
436.0,564.0
433.0,567.0
432.0,568.0
429.0,571.0
425.0,575.0
422.0,578.0
421.0,579.0
418.0,582.0
416.0,584.0
414.0,586.0
413.0,587.0
413.0,587.0
413.0,587.0
410.0,590.0
407.0,593.0
405.0,595.0
404.0,596.0
401.0,599.0
399.0,601.0
397.0,603.0
393.0,607.0
392.0,608.0
389.0,611.0
389.0,611.0
388.0,612.0
386.0,614.0
384.0,616.0
382.0,618.0
380.0,620.0
379.0,621.0
377.0,623.0
374.0,626.0
373.0,627.0
372.0,628.0
370.0,630.0
369.0,631.0
367.0,633.0
367.0,633.0
367.0,633.0
365.0,635.0
363.0,637.0
360.0,640.0
357.0,643.0
356.0,644.0
355.0,645.0
354.0,646.0
351.0,649.0
345.0,655.0
342.0,658.0
339.0,661.0
337.0,663.0
336.0,664.0
336.0,664.0
333.0,667.0
332.0,668.0
330.0,670.0
327.0,673.0
326.0,674.0
325.0,675.0
323.0,677.0
323.0,677.0
323.0,677.0
321.0,679.0
320.0,680.0
320.0,680.0
320.0,680.0
319.0,681.0
315.0,685.0
315.0,685.0
313.0,687.0
313.0,687.0
312.0,688.0
312.0,688.0
311.0,689.0
310.0,690.0
310.0,690.0
309.0,691.0
307.0,693.0
306.0,694.0
302.0,698.0
301.0,699.0
300.0,700.0
297.0,703.0
294.0,706.0
293.0,707.0
293.0,707.0
292.0,708.0
292.0,708.0
292.0,708.0
291.0,709.0
290.0,710.0
289.0,711.0
287.0,713.0
286.0,714.0
286.0,714.0
284.0,716.0
284.0,716.0
283.0,717.0
281.0,719.0
280.0,720.0
279.0,721.0
278.0,722.0
276.0,724.0
274.0,726.0
271.0,729.0
270.0,730.0
269.0,731.0
268.0,732.0
268.0,732.0
266.0,734.0
265.0,735.0
264.0,736.0
264.0,736.0
262.0,738.0
262.0,738.0
260.0,740.0
259.0,741.0
258.0,742.0
258.0,742.0
254.0,746.0
254.0,746.0
254.0,746.0
254.0,746.0
252.0,748.0
250.0,750.0
247.0,753.0
246.0,754.0
246.0,754.0
245.0,755.0
245.0,755.0
245.0,755.0
244.0,756.0
241.0,759.0
241.0,759.0
239.0,761.0
238.0,762.0
236.0,764.0
235.0,765.0
234.0,766.0
233.0,767.0
233.0,767.0
231.0,769.0
230.0,770.0
229.0,771.0
229.0,771.0
229.0,771.0
228.0,772.0
226.0,774.0
226.0,774.0
226.0,774.0
226.0,774.0
226.0,774.0
226.0,774.0
226.0,774.0
226.0,774.0
225.0,775.0
224.0,776.0
223.0,777.0
221.0,779.0
221.0,779.0
220.0,780.0
219.0,781.0
218.0,782.0
218.0,782.0
218.0,782.0
217.0,783.0
215.0,785.0
215.0,785.0
212.0,788.0
211.0,789.0
209.0,791.0
208.0,792.0
207.0,793.0
206.0,794.0
206.0,794.0
205.0,795.0
205.0,795.0
205.0,795.0
203.0,797.0
201.0,799.0
200.0,800.0
198.0,802.0
198.0,802.0
198.0,802.0
197.0,803.0
197.0,803.0
196.0,804.0
196.0,804.0
195.0,805.0
195.0,805.0
195.0,805.0
194.0,806.0
194.0,806.0
194.0,806.0
194.0,806.0
193.0,807.0
192.0,808.0
192.0,808.0
190.0,810.0
189.0,811.0
189.0,811.0
189.0,811.0
188.0,812.0
188.0,812.0
188.0,812.0
188.0,812.0
188.0,812.0
188.0,812.0
186.0,814.0
186.0,814.0
184.0,816.0
183.0,817.0
182.0,818.0
182.0,818.0
182.0,818.0
181.0,819.0
181.0,819.0
181.0,819.0
181.0,819.0
181.0,819.0
179.0,821.0
178.0,822.0
178.0,822.0
178.0,822.0
178.0,822.0
178.0,822.0
177.0,823.0
176.0,824.0
175.0,825.0
175.0,825.0
175.0,825.0
175.0,825.0
174.0,826.0
174.0,826.0
174.0,826.0
172.0,828.0
172.0,828.0
171.0,829.0
170.0,830.0
170.0,830.0
169.0,831.0
169.0,831.0
169.0,831.0
166.0,834.0
165.0,835.0
165.0,835.0
165.0,835.0
165.0,835.0
165.0,835.0
164.0,836.0
163.0,837.0
163.0,837.0
162.0,838.0
162.0,838.0
162.0,838.0
162.0,838.0
162.0,838.0
162.0,838.0
162.0,838.0
162.0,838.0
162.0,838.0
162.0,838.0
162.0,838.0
162.0,838.0
161.0,839.0
160.0,840.0
160.0,840.0
160.0,840.0
160.0,840.0
160.0,840.0
160.0,840.0
