"Susceptible","Infected"
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
19.0,1.0
18.0,2.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
11.0,9.0
