"Susceptible","Infected"
9999.0,1.0
9999.0,1.0
9999.0,1.0
9999.0,1.0
9999.0,1.0
9997.0,3.0
9990.0,10.0
9988.0,12.0
9987.0,13.0
9986.0,14.0
9986.0,14.0
9986.0,14.0
9986.0,14.0
9986.0,14.0
9967.0,33.0
9906.0,94.0
9879.0,121.0
9867.0,133.0
9835.0,165.0
9835.0,165.0
9835.0,165.0
9835.0,165.0
9825.0,175.0
9670.0,330.0
9204.0,796.0
8837.0,1163.0
8650.0,1350.0
8393.0,1607.0
8321.0,1679.0
8321.0,1679.0
8318.0,1682.0
8210.0,1790.0
7151.0,2849.0
4632.0,5368.0
2897.0,7103.0
2185.0,7815.0
1624.0,8376.0
1398.0,8602.0
1370.0,8630.0
1363.0,8637.0
1192.0,8808.0
379.0,9621.0
17.0,9983.0
0.0,10000.0
0.0,10000.0
0.0,10000.0
0.0,10000.0
0.0,10000.0
0.0,10000.0
0.0,10000.0
0.0,10000.0
0.0,10000.0
0.0,10000.0
0.0,10000.0
0.0,10000.0
0.0,10000.0
