"Susceptible","Infected"
97.0,3.0
95.0,5.0
93.0,7.0
92.0,8.0
91.0,9.0
90.0,10.0
87.0,13.0
84.0,16.0
83.0,17.0
77.0,23.0
75.0,25.0
71.0,29.0
66.0,34.0
63.0,37.0
57.0,43.0
49.0,51.0
42.0,58.0
39.0,61.0
35.0,65.0
30.0,70.0
27.0,73.0
27.0,73.0
24.0,76.0
19.0,81.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
