"Susceptible","Infected"
73.0,27.0
47.0,53.0
33.0,67.0
24.0,76.0
19.0,81.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
18.0,82.0
