"Susceptible","Infected"
20.0,0.0
20.0,0.0
20.0,0.0
18.0,2.0
16.0,4.0
16.0,4.0
16.0,4.0
16.0,4.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
15.0,5.0
