"Susceptible","Infected"
49.0,1.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
48.0,2.0
